Global_active_power,Global_reactive_power,Voltage
4.216,0.418,234.84
5.36,0.436,233.63
5.374,0.498,233.29
5.388,0.502,233.74
3.666,0.528,235.68
3.52,0.522,235.02
3.702,0.52,235.09
3.7,0.52,235.22
3.668,0.51,233.99
3.662,0.51,233.86
4.448,0.498,232.86
5.412,0.47,232.78
5.224,0.478,232.99
5.268,0.398,232.91
4.054,0.422,235.24
3.384,0.282,237.14
3.27,0.152,236.73
3.43,0.156,237.06
3.266,0.0,237.13
3.728,0.0,235.84
5.894,0.0,232.69
7.706,0.0,230.98
7.026,0.0,232.21
5.174,0.0,234.19
4.474,0.0,234.96
3.248,0.0,236.66
3.236,0.0,235.84
3.228,0.0,235.6
3.258,0.0,235.49
3.178,0.0,235.28
2.72,0.0,235.06
3.758,0.076,234.17
4.342,0.09,233.77
4.512,0.0,233.62
4.058,0.2,234.68
2.472,0.058,236.94
2.79,0.18,237.52
2.624,0.144,238.2
2.772,0.118,238.28
3.74,0.108,236.93
4.928,0.202,235.01
6.052,0.192,232.93
6.752,0.186,232.12
6.474,0.144,231.85
6.308,0.116,232.25
4.464,0.136,234.66
3.396,0.148,236.2
3.09,0.152,237.07
3.73,0.144,235.78
2.308,0.16,237.43
2.388,0.158,237.26
4.598,0.1,234.25
4.524,0.076,234.2
4.202,0.082,234.31
4.472,0.0,233.29
2.852,0.0,235.61
2.928,0.0,235.25
2.94,0.0,236.04
2.934,0.0,235.51
2.926,0.0,235.68
3.452,0.0,235.2
4.87,0.0,233.74
4.868,0.0,233.84
4.866,0.0,233.79
3.176,0.0,235.5
2.92,0.0,235.84
2.93,0.0,236.15
2.912,0.05,235.81
2.608,0.052,235.41
2.714,0.162,234.82
3.538,0.086,233.76
6.072,0.0,232.48
4.536,0.0,233.54
4.408,0.0,232.32
2.912,0.048,234.02
2.326,0.054,234.76
2.264,0.054,234.67
2.27,0.054,235.27
2.258,0.054,235.12
2.188,0.068,235.8
2.978,0.166,234.81
4.2,0.174,234.38
4.204,0.186,234.2
4.218,0.178,233.98
2.786,0.188,234.99
2.54,0.088,234.67
2.496,0.08,233.92
2.336,0.07,233.51
2.322,0.0,233.44
2.448,0.0,233.64
4.298,0.0,232.39
4.23,0.09,232.25
4.23,0.09,232.32
3.924,0.084,232.79
4.218,0.09,232.09
4.224,0.09,231.96
4.07,0.088,231.99
3.612,0.09,232.36
3.458,0.09,232.71
3.434,0.09,232.01
3.366,0.0,232.78
3.404,0.082,233.08
3.382,0.074,233.69
3.616,0.106,234.44
3.476,0.092,234.6
3.394,0.064,235.12
3.4,0.0,234.28
3.414,0.0,234.19
3.432,0.0,234.69
3.418,0.0,234.26
3.392,0.0,233.3
3.394,0.0,233.43
3.394,0.0,233.45
3.406,0.0,233.91
3.42,0.0,234.43
3.418,0.0,234.34
3.422,0.052,234.58
3.332,0.0,234.02
3.316,0.046,234.29
3.334,0.0,234.36
3.262,0.052,232.64
3.476,0.064,232.96
3.62,0.09,233.47
3.61,0.084,234.98
3.646,0.138,234.34
3.614,0.192,233.92
3.408,0.162,233.94
3.388,0.134,233.72
3.372,0.132,233.2
3.37,0.132,233.1
3.342,0.12,232.29
3.284,0.0,232.45
3.276,0.0,231.97
3.382,0.13,232.42
3.418,0.16,233.38
3.396,0.158,232.69
3.406,0.158,233.2
3.406,0.158,233.26
3.392,0.156,232.84
3.378,0.154,232.39
3.368,0.154,232.14
3.35,0.152,231.57
3.352,0.152,231.66
3.364,0.154,232.22
3.38,0.156,232.81
3.404,0.16,233.77
3.378,0.156,232.82
3.388,0.158,233.22
3.376,0.156,232.84
3.254,0.0,232.75
3.214,0.078,232.64
3.202,0.078,232.2
3.202,0.078,232.2
3.212,0.078,232.58
3.206,0.078,232.4
3.214,0.078,232.66
3.206,0.078,232.43
3.222,0.078,233.02
3.216,0.076,232.8
3.216,0.078,232.79
3.194,0.078,231.98
3.278,0.0,232.88
3.282,0.0,232.52
3.292,0.0,232.87
3.316,0.0,233.78
3.37,0.08,233.69
3.42,0.144,234.04
3.41,0.142,233.93
3.4,0.14,233.62
3.4,0.14,233.64
3.388,0.14,233.26
3.37,0.086,233.9
3.332,0.0,233.68
3.31,0.0,232.83
3.312,0.0,233.0
3.314,0.0,233.08
3.302,0.0,232.69
3.302,0.0,232.91
3.3,0.0,232.87
3.29,0.0,232.42
3.286,0.0,232.31
3.23,0.052,232.79
3.218,0.078,233.05
3.258,0.076,234.57
3.264,0.076,234.79
3.26,0.076,234.6
3.262,0.076,234.54
3.264,0.076,234.6
3.238,0.076,233.77
3.228,0.078,233.5
3.222,0.078,233.27
3.226,0.078,233.37
3.206,0.078,232.64
3.188,0.08,231.95
3.196,0.08,232.21
3.204,0.078,232.5
3.232,0.078,233.63
3.254,0.074,234.43
3.376,0.05,234.63
3.372,0.048,235.05
3.366,0.048,234.96
3.386,0.05,235.77
3.496,0.146,236.76
3.426,0.146,234.59
3.44,0.148,235.13
3.44,0.146,235.14
3.454,0.15,235.75
3.45,0.15,235.69
3.48,0.154,236.86
3.474,0.152,236.72
3.456,0.15,236.05
1.832,0.17,237.54
2.044,0.102,237.44
3.354,0.0,237.0
3.282,0.074,235.55
3.308,0.074,236.51
3.314,0.072,236.76
3.306,0.072,237.11
1.692,0.054,238.72
3.342,0.07,237.66
3.354,0.07,238.2
3.334,0.072,237.46
3.33,0.072,237.36
2.74,0.064,238.13
2.188,0.06,237.74
3.33,0.07,237.26
3.34,0.07,237.69
3.306,0.072,236.44
3.044,0.072,236.23
1.766,0.058,237.7
3.376,0.0,235.73
3.414,0.052,236.51
3.426,0.054,237.11
3.42,0.054,237.06
1.876,0.074,238.63
3.442,0.056,237.58
3.414,0.054,236.87
3.412,0.056,236.94
2.542,0.068,238.17
2.82,0.062,237.42
3.41,0.054,236.91
3.392,0.052,236.24
2.878,0.06,237.17
1.848,0.112,238.59
3.494,0.144,237.43
3.42,0.0,237.73
3.226,0.0,237.2
1.948,0.0,238.41
3.392,0.0,236.6
3.368,0.0,236.12
3.378,0.0,236.54
1.872,0.0,238.48
3.212,0.0,237.27
3.346,0.0,237.06
3.308,0.072,236.49
3.302,0.072,236.28
2.36,0.064,236.89
2.652,0.046,236.64
3.392,0.0,236.58
3.398,0.0,236.83
3.424,0.046,237.75
1.86,0.066,239.69
3.25,0.082,238.95
3.502,0.172,236.46
3.484,0.17,235.98
3.478,0.168,235.85
1.696,0.194,238.19
3.494,0.17,236.28
3.482,0.17,236.4
3.48,0.17,236.46
3.474,0.168,236.28
2.308,0.184,237.33
2.926,0.178,237.09
3.472,0.17,236.39
3.48,0.17,236.75
3.454,0.168,235.73
3.464,0.17,236.03
1.786,0.096,237.68
3.182,0.0,235.99
3.378,0.0,236.26
3.372,0.0,236.03
3.362,0.0,235.7
3.112,0.0,236.08
1.614,0.056,237.31
3.358,0.0,236.14
3.388,0.0,236.61
3.392,0.0,236.93
2.81,0.0,237.97
2.18,0.0,238.02
3.37,0.0,236.06
3.326,0.0,234.45
2.778,0.0,235.31
2.358,0.0,237.1
0.96,0.054,238.68
1.606,0.0,238.76
2.35,0.0,238.59
2.428,0.068,238.87
2.078,0.072,238.97
0.78,0.09,239.93
2.426,0.068,239.05
2.412,0.066,238.46
2.428,0.07,239.68
1.53,0.084,240.72
1.388,0.086,240.87
2.424,0.07,239.71
2.428,0.072,239.89
2.388,0.07,239.48
0.376,0.1,241.64
2.202,0.074,240.07
2.43,0.07,239.77
2.346,0.052,240.05
1.916,0.054,239.75
0.384,0.0,240.58
2.334,0.06,239.2
2.32,0.06,238.84
2.306,0.062,238.39
2.306,0.064,238.39
0.436,0.0,241.06
1.584,0.05,240.89
2.328,0.062,239.46
2.326,0.062,239.27
2.334,0.06,239.57
1.846,0.054,239.99
0.284,0.0,242.04
2.342,0.06,239.89
2.392,0.0,239.91
2.414,0.0,240.02
2.414,0.0,239.97
0.754,0.086,241.27
1.42,0.178,238.64
2.468,0.162,237.47
2.474,0.164,238.05
2.488,0.168,239.03
1.81,0.182,240.28
0.674,0.2,241.36
2.444,0.094,239.42
2.41,0.068,238.9
2.412,0.07,239.13
2.206,0.072,239.37
0.37,0.1,241.58
2.104,0.076,240.11
2.404,0.068,238.73
2.418,0.07,239.52
2.342,0.0,239.74
1.262,0.046,240.96
0.852,0.0,241.64
2.34,0.06,240.05
2.336,0.06,240.07
2.334,0.06,239.99
2.33,0.06,239.74
1.038,0.0,241.17
0.386,0.0,242.39
2.35,0.06,240.41
2.346,0.06,240.5
2.346,0.06,240.55
1.834,0.052,240.97
1.222,0.046,241.58
2.342,0.06,240.21
2.334,0.06,239.98
1.666,0.052,240.65
1.198,0.0,241.68
2.35,0.058,240.7
2.398,0.0,240.7
2.444,0.072,240.11
0.406,0.098,241.71
2.434,0.072,240.13
2.502,0.136,240.24
2.518,0.176,240.53
1.516,0.19,241.36
1.498,0.188,241.02
2.508,0.174,240.06
2.504,0.174,240.09
2.492,0.172,239.49
0.814,0.204,242.16
2.304,0.18,240.95
2.53,0.182,241.74
2.378,0.0,241.18
0.384,0.0,243.73
2.37,0.058,241.48
2.358,0.058,241.13
2.352,0.058,240.96
0.416,0.0,242.94
2.654,0.062,240.74
2.54,0.06,241.23
2.526,0.058,241.79
1.206,0.0,241.83
3.844,0.148,238.71
4.122,0.14,237.99
3.458,0.0,238.89
1.988,0.05,240.26
0.596,0.0,240.88
1.29,0.0,240.69
2.73,0.06,239.43
2.734,0.062,239.81
2.764,0.066,241.27
2.586,0.07,241.63
1.044,0.152,242.73
1.52,0.22,242.2
3.038,0.194,240.14
2.974,0.194,239.97
2.846,0.198,240.39
2.848,0.198,240.59
2.858,0.202,241.14
2.472,0.208,241.62
0.658,0.244,243.75
0.838,0.334,242.09
2.608,0.298,239.45
2.598,0.296,239.44
2.56,0.286,238.71
2.526,0.278,236.95
2.472,0.194,237.55
1.658,0.166,238.48
0.422,0.184,239.79
0.79,0.178,239.47
2.436,0.12,238.51
2.396,0.056,239.03
2.338,0.0,238.37
2.304,0.062,238.38
0.276,0.0,240.56
0.712,0.0,239.84
2.332,0.06,239.11
2.344,0.058,239.99
2.354,0.058,240.64
2.332,0.06,239.45
2.368,0.056,241.4
0.612,0.0,243.68
0.286,0.0,244.03
1.952,0.05,242.07
2.376,0.056,241.86
2.374,0.056,241.7
2.406,0.0,240.0
1.004,0.094,242.0
0.388,0.104,242.58
1.458,0.09,242.3
2.48,0.078,241.86
2.454,0.074,240.76
2.468,0.078,241.52
2.028,0.084,241.88
0.382,0.108,243.65
0.902,0.098,242.62
2.466,0.076,241.43
2.456,0.076,241.18
2.45,0.074,240.82
2.448,0.074,240.78
0.93,0.0,242.94
0.286,0.0,243.84
1.376,0.0,243.11
2.456,0.048,241.98
2.456,0.048,242.01
2.444,0.046,241.38
2.122,0.048,240.91
0.356,0.07,242.13
0.952,0.062,241.5
2.426,0.0,240.45
2.42,0.0,240.35
2.412,0.0,240.65
1.008,0.0,242.35
0.43,0.0,243.4
2.676,0.088,240.69
3.766,0.208,239.13
4.582,0.258,238.08
5.282,0.15,237.38
2.362,0.096,241.35
3.25,0.084,240.95
4.618,0.104,239.61
5.242,0.178,239.49
4.86,0.198,239.65
3.738,0.238,240.39
3.426,0.256,240.31
5.254,0.214,238.15
5.246,0.23,237.91
5.216,0.21,237.44
3.858,0.24,238.52
2.822,0.188,239.55
3.84,0.164,238.27
4.636,0.14,237.37
4.634,0.152,237.17
4.652,0.142,237.92
3.13,0.13,239.82
1.756,0.05,241.18
3.478,0.0,239.84
4.5,0.0,239.04
3.552,0.0,240.29
3.94,0.0,239.19
2.44,0.0,240.8
2.08,0.0,241.61
3.652,0.0,240.11
4.432,0.0,239.35
4.46,0.0,240.08
2.186,0.124,242.07
2.358,0.124,241.54
3.954,0.098,239.84
3.746,0.106,240.36
3.944,0.098,239.79
3.68,0.102,239.55
1.67,0.13,242.21
3.214,0.118,241.92
4.5,0.0,240.42
3.8,0.0,241.78
2.664,0.0,243.31
2.528,0.122,242.92
2.668,0.14,241.8
4.256,0.184,240.29
4.126,0.244,240.61
3.216,0.27,242.14
0.574,0.302,243.88
2.344,0.272,241.49
3.804,0.244,240.34
4.622,0.24,239.59
3.218,0.25,240.38
0.774,0.294,242.43
0.572,0.3,243.55
1.952,0.282,242.33
2.608,0.188,241.86
2.6,0.134,242.14
2.568,0.132,241.97
1.334,0.148,242.14
0.362,0.124,244.33
1.238,0.1,245.86
2.448,0.088,244.84
2.426,0.082,244.83
1.794,0.098,245.8
0.288,0.118,247.65
0.608,0.12,247.49
2.426,0.082,244.73
2.442,0.088,244.9
2.428,0.084,244.77
0.674,0.116,247.47
0.306,0.128,248.48
2.09,0.094,247.01
2.508,0.134,246.12
2.228,0.126,246.32
0.308,0.108,248.01
0.29,0.102,248.2
2.442,0.072,245.61
2.514,0.156,245.29
2.506,0.202,243.75
0.388,0.234,246.17
0.538,0.242,246.94
2.496,0.142,245.35
2.47,0.1,244.97
2.448,0.096,244.97
0.82,0.126,246.17
0.308,0.13,247.3
2.45,0.102,244.96
2.432,0.092,244.2
2.444,0.098,243.93
1.97,0.1,244.35
0.256,0.0,246.64
0.508,0.0,246.7
2.37,0.0,244.7
2.352,0.0,245.05
2.14,0.0,246.52
0.212,0.0,248.94
0.992,0.0,247.33
2.362,0.0,245.39
2.384,0.0,245.71
1.928,0.0,246.1
0.218,0.0,249.37
0.656,0.0,249.07
2.398,0.0,247.31
2.412,0.0,247.26
1.672,0.0,245.95
0.226,0.0,246.16
1.632,0.0,244.51
2.352,0.0,243.91
2.328,0.046,243.68
0.732,0.0,244.57
0.206,0.0,245.98
2.332,0.0,244.32
2.39,0.0,244.51
2.476,0.1,244.84
0.604,0.126,247.15
0.38,0.178,246.59
1.774,0.21,244.52
2.52,0.202,243.43
2.542,0.214,244.06
2.228,0.294,245.05
0.59,0.316,247.12
1.354,0.316,246.86
2.734,0.28,245.41
2.734,0.288,245.27
2.002,0.214,245.79
0.472,0.144,247.11
0.876,0.0,244.7
2.324,0.046,243.24
2.342,0.0,243.46
2.326,0.046,243.57
0.302,0.0,246.19
0.208,0.0,247.17
2.022,0.0,245.69
2.356,0.0,245.08
2.346,0.0,243.7
2.24,0.0,243.92
0.224,0.0,245.54
0.424,0.0,244.88
2.344,0.0,243.27
2.308,0.048,242.65
2.338,0.0,243.29
1.48,0.0,243.73
0.222,0.0,245.29
0.82,0.0,245.38
2.352,0.0,243.84
2.312,0.048,242.8
2.324,0.0,242.52
0.232,0.0,244.9
0.342,0.12,244.81
1.94,0.098,243.8
2.456,0.098,244.03
2.448,0.096,244.73
1.838,0.108,244.66
0.32,0.13,246.4
1.154,0.116,245.5
2.442,0.096,243.49
2.41,0.09,243.08
2.282,0.096,243.17
0.32,0.126,244.44
0.812,0.224,244.05
2.446,0.138,242.72
2.426,0.066,243.81
2.41,0.062,244.12
0.436,0.096,245.64
0.492,0.088,245.18
2.424,0.064,243.7
2.392,0.058,243.41
2.382,0.0,243.42
0.754,0.0,245.53
0.412,0.0,246.54
2.354,0.0,244.63
2.412,0.0,244.59
2.426,0.082,244.42
1.384,0.1,244.64
0.292,0.11,245.31
1.33,0.098,243.78
2.396,0.076,242.57
2.422,0.082,243.16
2.402,0.076,243.18
0.43,0.112,245.02
0.666,0.104,244.9
2.42,0.08,242.77
2.39,0.074,242.47
2.446,0.12,242.14
0.978,0.248,245.15
0.4,0.254,245.86
2.432,0.222,243.47
2.5,0.214,243.36
2.52,0.22,243.54
0.788,0.246,245.68
0.402,0.256,245.69
2.238,0.216,243.21
2.512,0.22,243.49
2.486,0.212,243.2
1.936,0.23,244.12
0.376,0.256,246.45
0.908,0.078,245.71
2.336,0.046,243.86
2.346,0.0,243.5
2.328,0.046,243.62
1.708,0.0,243.73
0.206,0.0,245.17
0.516,0.0,245.13
2.426,0.06,243.67
2.43,0.066,244.0
2.424,0.06,243.6
2.306,0.064,242.93
0.288,0.088,245.08
0.756,0.092,245.69
3.498,0.05,242.83
3.522,0.054,242.92
3.46,0.0,243.03
3.434,0.05,242.95
1.646,0.0,245.6
1.336,0.0,245.94
2.874,0.0,244.16
3.41,0.056,243.04
3.412,0.052,242.49
3.386,0.056,242.22
1.844,0.048,244.07
1.414,0.106,244.55
3.352,0.086,242.89
3.5,0.08,242.65
3.516,0.084,242.63
3.174,0.084,243.15
1.428,0.114,245.1
1.994,0.1,244.15
3.492,0.082,241.83
3.46,0.076,241.53
3.492,0.082,242.06
3.482,0.08,242.39
1.492,0.104,245.95
1.326,0.0,246.55
3.282,0.046,243.76
3.422,0.054,243.58
3.424,0.05,242.95
3.254,0.054,242.7
1.32,0.0,244.27
2.294,0.0,243.14
3.4,0.052,242.01
3.402,0.056,242.73
3.418,0.05,242.7
2.994,0.05,243.77
1.326,0.0,244.66
2.02,0.0,243.62
3.378,0.056,241.41
3.372,0.054,240.91
3.374,0.046,240.82
3.426,0.046,240.23
1.462,0.066,242.12
1.834,0.07,242.93
3.462,0.046,242.13
3.486,0.054,242.49
2.91,0.056,243.69
0.936,0.09,245.93
0.338,0.152,246.45
1.926,0.136,244.33
2.42,0.088,242.87
2.438,0.094,243.06
2.43,0.092,243.67
2.454,0.098,244.05
0.424,0.126,246.26
0.716,0.128,246.23
2.462,0.098,245.16
2.46,0.1,244.25
2.418,0.09,243.19
1.0,0.112,243.77
0.298,0.118,244.73
1.65,0.0,243.03
2.31,0.048,242.67
2.332,0.0,242.87
2.242,0.046,243.03
0.224,0.0,244.96
0.752,0.0,244.5
2.33,0.0,242.56
2.322,0.0,242.61
2.312,0.048,242.19
0.76,0.0,243.74
0.364,0.0,244.4
2.336,0.0,242.39
2.312,0.048,242.51
2.332,0.0,242.61
0.856,0.0,243.82
0.864,0.0,243.55
2.302,0.05,242.22
2.324,0.0,242.6
1.852,0.0,243.74
0.226,0.0,247.08
2.184,0.0,244.99
2.38,0.0,245.62
1.92,0.0,245.71
0.254,0.0,246.97
2.164,0.098,244.63
2.554,0.188,244.72
2.026,0.212,245.14
0.414,0.244,246.58
2.106,0.206,244.28
2.522,0.202,243.58
2.076,0.206,244.36
0.402,0.238,245.77
2.118,0.204,243.95
2.486,0.176,243.01
1.34,0.2,245.34
0.666,0.258,246.0
2.44,0.11,243.7
2.426,0.082,243.53
1.278,0.096,243.92
0.43,0.106,244.99
2.426,0.08,243.06
2.382,0.072,241.95
2.406,0.078,242.35
0.33,0.106,244.82
1.208,0.098,243.99
2.406,0.076,242.91
2.442,0.086,242.84
2.426,0.082,243.09
2.432,0.084,242.41
2.414,0.08,242.63
0.484,0.116,244.86
0.312,0.112,245.05
2.352,0.088,243.36
2.428,0.084,243.66
2.582,0.092,244.02
2.784,0.086,243.85
2.68,0.09,243.73
1.42,0.098,244.93
0.908,0.088,244.83
3.194,0.048,242.05
3.328,0.094,241.89
2.67,0.094,242.62
1.238,0.124,244.76
1.12,0.116,244.4
0.592,0.128,245.39
0.8,0.122,245.94
0.82,0.126,245.84
0.796,0.116,244.5
0.798,0.116,244.02
0.694,0.12,244.13
0.694,0.136,244.35
0.758,0.228,244.3
0.682,0.14,244.14
0.664,0.09,244.49
0.642,0.084,244.14
0.66,0.088,243.94
0.636,0.082,243.58
0.66,0.09,244.64
0.638,0.084,244.26
0.478,0.092,244.46
0.316,0.0,245.54
0.33,0.0,246.01
0.38,0.0,245.94
0.522,0.0,245.22
0.422,0.0,244.45
0.262,0.0,243.96
0.22,0.0,243.39
0.246,0.0,244.35
0.212,0.0,244.26
0.242,0.0,244.62
0.222,0.0,244.67
0.24,0.0,244.23
0.216,0.0,244.87
0.228,0.0,243.64
0.21,0.0,242.49
0.276,0.0,242.25
0.322,0.104,242.08
0.336,0.108,241.89
0.318,0.108,242.08
0.314,0.11,242.57
0.328,0.114,243.04
0.308,0.108,242.59
0.326,0.112,242.55
0.304,0.108,242.8
2.206,0.086,240.97
2.338,0.072,239.16
2.362,0.076,239.21
2.356,0.074,239.79
2.324,0.0,239.78
2.264,0.056,239.92
2.28,0.052,240.03
2.258,0.056,239.9
2.306,0.048,241.23
2.288,0.054,241.35
2.3,0.048,241.01
2.346,0.0,241.57
2.378,0.054,241.27
2.346,0.048,240.92
2.35,0.05,240.04
2.326,0.0,239.39
2.336,0.048,238.93
2.326,0.0,239.46
0.504,0.08,242.27
0.268,0.076,242.22
1.734,0.0,242.55
2.318,0.05,242.88
2.322,0.046,242.18
2.302,0.052,242.16
2.318,0.046,241.97
2.302,0.05,241.71
2.29,0.052,241.53
2.376,0.0,241.3
0.368,0.114,244.31
0.332,0.124,244.83
1.734,0.096,243.37
2.416,0.088,242.04
2.4,0.084,242.24
2.418,0.088,242.1
2.388,0.082,241.56
2.406,0.086,241.57
2.378,0.08,241.33
1.164,0.108,243.28
0.3,0.118,244.95
0.7,0.12,244.83
2.376,0.0,242.85
2.32,0.046,242.06
2.278,0.054,241.04
2.28,0.05,240.31
2.278,0.054,240.95
2.294,0.05,240.67
2.28,0.056,240.9
2.3,0.05,240.97
0.21,0.0,243.21
0.216,0.0,243.6
2.256,0.052,241.99
2.312,0.048,241.62
2.288,0.052,241.37
2.308,0.048,241.44
2.272,0.054,240.62
2.354,0.0,241.27
0.616,0.084,243.88
0.282,0.082,243.68
1.78,0.06,241.11
2.348,0.048,240.67
2.368,0.054,241.1
2.362,0.052,241.84
2.378,0.056,241.48
2.43,0.134,240.97
2.512,0.256,239.37
0.616,0.226,241.48
0.398,0.234,241.86
1.528,0.212,241.11
2.484,0.208,241.06
2.462,0.202,241.06
2.502,0.214,242.36
2.484,0.21,242.66
2.486,0.212,242.06
2.04,0.214,242.4
0.402,0.246,244.02
0.38,0.24,243.78
1.876,0.196,241.39
2.36,0.068,241.03
2.364,0.07,240.69
2.336,0.064,240.11
2.352,0.068,239.68
2.34,0.064,240.17
2.36,0.07,240.34
0.914,0.088,242.65
0.29,0.104,243.51
1.058,0.09,243.08
2.374,0.07,241.42
2.388,0.076,241.94
2.358,0.0,242.68
2.294,0.05,241.02
2.278,0.054,241.32
2.28,0.05,240.08
0.268,0.0,241.7
0.222,0.0,242.47
1.622,0.046,241.27
2.296,0.048,241.03
2.278,0.054,241.14
2.296,0.05,240.7
2.26,0.056,239.73
2.94,0.218,238.57
2.792,0.17,238.51
1.158,0.248,239.96
0.932,0.398,240.25
2.514,0.368,239.1
2.984,0.334,239.27
2.996,0.338,238.94
2.94,0.31,239.09
3.278,0.158,239.63
5.908,0.134,237.9
7.064,0.124,235.57
6.926,0.118,235.35
6.58,0.056,235.15
6.05,0.0,235.22
6.104,0.05,235.32
4.762,0.088,237.44
4.506,0.088,237.25
4.472,0.088,236.34
3.708,0.084,236.82
0.724,0.054,240.88
1.892,0.066,239.37
2.012,0.0,239.17
2.372,0.0,238.36
2.386,0.0,238.96
2.4,0.064,238.59
2.424,0.068,238.48
1.066,0.05,240.0
0.38,0.0,240.77
1.632,0.0,239.72
2.41,0.0,239.47
2.38,0.062,239.45
2.402,0.06,239.23
2.438,0.066,239.37
2.432,0.066,239.18
1.64,0.054,239.87
0.424,0.0,240.71
1.41,0.124,239.52
2.722,0.136,237.51
2.712,0.136,237.44
2.706,0.134,237.39
2.488,0.112,237.7
2.424,0.072,238.73
1.258,0.184,239.79
0.37,0.206,240.85
0.786,0.202,240.73
2.474,0.176,238.59
2.474,0.176,238.58
2.488,0.178,239.21
2.486,0.178,239.29
2.444,0.13,238.64
2.272,0.048,239.04
0.338,0.076,241.21
0.29,0.0,241.1
1.466,0.0,240.92
2.324,0.05,239.84
2.32,0.052,239.14
2.308,0.052,238.59
2.314,0.054,238.76
2.312,0.052,239.03
2.306,0.052,239.26
0.444,0.0,241.82
0.268,0.0,242.48
1.846,0.046,240.12
2.308,0.054,238.67
2.29,0.056,238.04
2.288,0.056,238.09
2.296,0.054,238.13
2.292,0.054,238.03
0.37,0.0,240.26
0.472,0.0,240.15
3.054,0.06,237.55
3.48,0.066,235.97
3.572,0.046,235.65
3.56,0.058,235.44
3.528,0.056,234.71
3.49,0.05,233.52
2.038,0.068,235.76
1.406,0.078,237.13
2.84,0.064,236.1
3.388,0.06,235.99
3.394,0.062,236.29
3.36,0.06,235.94
1.354,0.084,238.25
1.334,0.082,237.88
1.358,0.09,238.01
1.37,0.118,237.93
1.322,0.054,237.72
1.304,0.05,236.92
1.394,0.07,238.37
1.702,0.082,238.37
2.242,0.162,237.33
3.714,0.296,235.15
3.212,0.304,235.99
3.694,0.28,235.16
3.204,0.292,236.08
3.676,0.268,234.85
3.666,0.282,234.34
3.678,0.204,236.01
3.722,0.3,236.22
3.716,0.28,236.39
3.75,0.298,236.67
4.17,0.268,235.42
5.776,0.266,232.89
5.718,0.244,232.07
5.738,0.26,232.13
5.714,0.242,231.99
5.732,0.268,231.88
5.73,0.272,231.61
5.848,0.396,232.11
5.842,0.38,232.47
5.88,0.4,233.05
5.872,0.384,233.26
5.07,0.416,234.44
5.488,0.396,234.81
5.898,0.404,233.85
5.026,0.382,232.73
3.246,0.4,234.31
2.712,0.256,234.81
3.538,0.26,233.91
3.574,0.254,235.74
3.016,0.286,237.04
3.002,0.224,237.17
4.444,0.136,235.97
5.568,0.106,234.01
4.84,0.132,235.21
5.066,0.112,234.54
5.57,0.154,232.91
3.65,0.22,234.55
2.394,0.248,235.94
3.024,0.222,234.81
3.25,0.232,234.6
3.378,0.16,235.39
2.264,0.144,237.06
3.108,0.112,235.01
2.978,0.11,233.95
1.966,0.118,234.51
1.928,0.134,235.57
2.526,0.082,234.36
1.51,0.0,235.49
1.572,0.064,236.83
1.602,0.076,237.21
1.562,0.062,236.76
1.55,0.0,237.83
1.586,0.05,237.91
1.658,0.168,238.35
1.658,0.164,236.8
1.65,0.314,234.89
1.676,0.312,235.59
2.492,0.31,234.99
3.828,0.288,234.29
3.822,0.262,234.72
3.834,0.254,235.27
3.81,0.248,235.19
3.824,0.244,234.83
3.838,0.226,235.06
3.844,0.23,234.72
3.824,0.25,234.49
3.844,0.208,234.82
3.88,0.146,234.73
4.004,0.162,236.29
3.784,0.124,235.97
3.784,0.104,236.2
3.792,0.104,237.09
2.146,0.192,236.81
1.608,0.208,237.06
1.828,0.212,237.83
1.922,0.212,237.67
1.978,0.252,237.94
1.93,0.218,238.08
1.964,0.222,239.49
1.854,0.224,240.69
